"","long","lat","tract","plot","biomass","biomass.fin","bio.ton","long.1","lat.1","tract.1","plot.1","biomass.1","optional"
"165",123.7523,10.50224,225,1,21340.1221483905,42680.2442967811,42.6802442967811,123.7523,10.50224,225,1,21340.1221483905,TRUE
"166",124.0023,10.50224,226,1,179.168584015256,358.337168030511,0.358337168030511,124.0023,10.50224,226,1,179.168584015256,TRUE
"167",124.7523,10.50224,227,1,4860.07735720786,9720.15471441571,9.72015471441571,124.7523,10.50224,227,1,4860.07735720786,TRUE
"168",125.0023,10.50224,228,1,142.453025889159,284.906051778319,0.284906051778319,125.0023,10.50224,228,1,142.453025889159,TRUE
"169",119.00226,10.25228,229,1,102093.766684399,204187.533368798,204.187533368798,119.00226,10.25228,229,1,102093.766684399,TRUE
"170",119.25226,10.25228,230,1,4692.49069003982,9384.98138007964,9.38498138007964,119.25226,10.25228,230,1,4692.49069003982,TRUE
"171",123.25229,10.25225,232,1,3584.8830011586,7169.76600231721,7.16976600231721,123.25229,10.25225,232,1,3584.8830011586,TRUE
"172",123.7523,10.25224,233,1,9219.66220842724,18439.3244168545,18.4393244168545,123.7523,10.25224,233,1,9219.66220842724,TRUE
"173",118.75226,10.00228,235,1,76620.294125246,153240.588250492,153.240588250492,118.75226,10.00228,235,1,76620.294125246,TRUE
"174",119.00226,10.00228,236,1,23056.712924738,46113.425849476,46.113425849476,119.00226,10.00228,236,1,23056.712924738,TRUE
"175",123.50229,10.00225,239,1,18892.2321335124,37784.4642670248,37.7844642670248,123.50229,10.00225,239,1,18892.2321335124,TRUE
"176",124.50229,10.00224,241,1,5130.26648300564,10260.5329660113,10.2605329660113,124.50229,10.00224,241,1,5130.26648300564,TRUE
"177",125.2523,10.00223,242,1,769.25347681793,1538.50695363586,1.53850695363586,125.2523,10.00223,242,1,769.25347681793,TRUE
"178",118.50225,9.75228,243,1,88911.3941003947,177822.788200789,177.822788200789,118.50225,9.75228,243,1,88911.3941003947,TRUE
"179",118.75226,9.75228,244,1,8483.22543880522,16966.4508776104,16.9664508776104,118.75226,9.75228,244,1,8483.22543880522,TRUE
"180",122.50228,9.75225,245,1,597.873708731696,1195.74741746339,1.19574741746339,122.50228,9.75225,245,1,597.873708731696,TRUE
"181",122.75229,9.75225,246,1,1520.84350102302,3041.68700204604,3.04168700204604,122.75229,9.75225,246,1,1520.84350102302,TRUE
"182",124.25229,9.75224,250,1,49992.4278762836,99984.8557525673,99.9848557525673,124.25229,9.75224,250,1,49992.4278762836,TRUE
"183",125.5023,9.75223,251,1,9169.08392951549,18338.167859031,18.338167859031,125.5023,9.75223,251,1,9169.08392951549,TRUE
